model,package,outcome,phase,code,bucket,seconds,diagnostic,evidence,mechanism
Modelica.Fluid.Examples.HeatExchanger.BaseClasses.BasicHX,Fluid.Examples,error,instantiate,EI027,p0a-specialization,21.1,redeclaration of `HeatTransfer` violates constrainedby: `Modelica.Fluid.Examples.HeatExchanger.BaseClasses.BasicHX.HeatTransfer_1` is not a subtype of `Modelica.Fluid.Pipes.BaseClasses.HeatTransfer.PartialFlowHeatTransfer`,EI027 on a redeclare/selection route: redeclaration of `HeatTransfer` violates constrainedby: `Modelica.Fluid.Examples.HeatExchanger.BaseClasses.BasicHX.HeatTransfer_1` is not a subtype of,ALIAS override_map.rs alias-path fallback
Modelica.Fluid.Examples.HeatExchanger.BaseClasses.WallConstProps,Fluid.Examples,ok,,,,24.8,,,
Modelica.Fluid.Examples.HeatingSystem,Fluid.Examples,error,instantiate,EI012,p0a-specialization,21.4,cannot instantiate partial class `Medium.BaseProperties` for component `pump.medium`,EI012 instantiates the constraining/partial class for an occurrence the model redeclared to a concrete medium,ALIAS override_map.rs alias-path fallback
Modelica.Fluid.Examples.IncompressibleFluidNetwork,Fluid.Examples,error,instantiate,EI012,p0a-specialization,22.0,cannot instantiate partial class `Medium.BaseProperties` for component `pipe1.mediums[1]`,EI012 instantiates the constraining/partial class for an occurrence the model redeclared to a concrete medium,ALIAS override_map.rs alias-path fallback
Modelica.Fluid.Examples.InverseParameterization,Fluid.Examples,error,instantiate,EI012,p0a-specialization,19.9,cannot instantiate partial class `Medium.BaseProperties` for component `pump.medium`,EI012 instantiates the constraining/partial class for an occurrence the model redeclared to a concrete medium,ALIAS override_map.rs alias-path fallback
Modelica.Fluid.Examples.NonCircularPipes,Fluid.Examples,error,instantiate,EI012,p0a-specialization,20.4,cannot instantiate partial class `Medium.BaseProperties` for component `circular_pipe.mediums[1]`,EI012 instantiates the constraining/partial class for an occurrence the model redeclared to a concrete medium,ALIAS override_map.rs alias-path fallback
Modelica.Fluid.Examples.PumpingSystem,Fluid.Examples,error,instantiate,EI012,p0a-specialization,19.9,cannot instantiate partial class `Medium.BaseProperties` for component `pumps.medium`,EI012 instantiates the constraining/partial class for an occurrence the model redeclared to a concrete medium,ALIAS override_map.rs alias-path fallback
Modelica.Fluid.Examples.Tanks.ThreeTanks,Fluid.Examples,error,typecheck,ET001,p0a-specialization,22.5,unknown modifier `min` for component `m_flows` of type `Medium.MassFlowRate`,"ET001 names a selected-package member type; the identical declaration compiles in a shallow standalone model, so the failure is depth dependent, not shape dependent",FIXPOINT constant_extraction.rs bounded-pass recovery
Modelica.Fluid.Examples.Tanks.TanksWithOverflow,Fluid.Examples,error,typecheck,ET001,p0a-specialization,22.5,unknown modifier `min` for component `m_flows` of type `Medium.MassFlowRate`,"ET001 names a selected-package member type; the identical declaration compiles in a shallow standalone model, so the failure is depth dependent, not shape dependent",FIXPOINT constant_extraction.rs bounded-pass recovery
Modelica.Fluid.Examples.Tanks.EmptyTanks,Fluid.Examples,error,typecheck,ET001,p0a-specialization,22.3,unknown modifier `min` for component `m_flows` of type `Medium.MassFlowRate`,"ET001 names a selected-package member type; the identical declaration compiles in a shallow standalone model, so the failure is depth dependent, not shape dependent",FIXPOINT constant_extraction.rs bounded-pass recovery
Modelica.Fluid.Examples.TraceSubstances.RoomCO2,Fluid.Examples,error,typecheck,ET001,p0a-specialization,22.4,unknown modifier `min` for component `m_flows` of type `Medium.MassFlowRate`,"ET001 names a selected-package member type; the identical declaration compiles in a shallow standalone model, so the failure is depth dependent, not shape dependent",FIXPOINT constant_extraction.rs bounded-pass recovery
Modelica.Fluid.Examples.TraceSubstances.RoomCO2WithControls,Fluid.Examples,error,instantiate,EI012,p0a-specialization,21.8,cannot instantiate partial class `Medium.BaseProperties` for component `ductOut.mediums[1]`,EI012 instantiates the constraining/partial class for an occurrence the model redeclared to a concrete medium,ALIAS override_map.rs alias-path fallback
Modelica.Fluid.Vessels.ClosedVolume,Fluid.Vessels,error,instantiate,EI012,p0a-specialization,19.3,cannot instantiate partial class `Medium.BaseProperties` for component `medium`,EI012 instantiates the constraining/partial class for an occurrence the model redeclared to a concrete medium,ALIAS override_map.rs alias-path fallback
Modelica.Fluid.Vessels.OpenTank,Fluid.Vessels,error,instantiate,EI012,p0a-specialization,22.0,cannot instantiate partial class `Medium.BaseProperties` for component `medium`,EI012 instantiates the constraining/partial class for an occurrence the model redeclared to a concrete medium,ALIAS override_map.rs alias-path fallback
Modelica.Fluid.Vessels.BaseClasses.HeatTransfer.IdealHeatTransfer,Fluid.Vessels,error,typecheck,ET002,p0a-specialization,20.5,"type mismatch: expected `Modelica.Fluid.Interfaces.PartialHeatTransfer.Medium`, found `Modelica.Units.SI.Temperature`",ET002 reports the replaceable package slot itself as the type of a component declared with one of its member types; reproduced standalone,ALIAS override_map.rs alias-path fallback
Modelica.Fluid.Vessels.BaseClasses.HeatTransfer.ConstantHeatTransfer,Fluid.Vessels,error,flatten,EF024,p0a-specialization,21.3,flat variable is missing structured identity: temperature,"a member of the selected package (function, record constant or structural constant `temperature`) reaches Flat with no structured identity",GUESSNAME equations/mod.rs::lookup_parameter_in_scope
Modelica.Fluid.Machines.SweptVolume,Fluid.Machines,error,instantiate,EI012,p0a-specialization,21.0,cannot instantiate partial class `Medium.BaseProperties` for component `medium`,EI012 instantiates the constraining/partial class for an occurrence the model redeclared to a concrete medium,ALIAS override_map.rs alias-path fallback
Modelica.Fluid.Machines.Pump,Fluid.Machines,error,instantiate,EI012,p0a-specialization,20.1,cannot instantiate partial class `Medium.BaseProperties` for component `medium`,EI012 instantiates the constraining/partial class for an occurrence the model redeclared to a concrete medium,ALIAS override_map.rs alias-path fallback
Modelica.Fluid.Machines.ControlledPump,Fluid.Machines,error,instantiate,EI012,p0a-specialization,20.5,cannot instantiate partial class `Medium.BaseProperties` for component `medium`,EI012 instantiates the constraining/partial class for an occurrence the model redeclared to a concrete medium,ALIAS override_map.rs alias-path fallback
Modelica.Fluid.Machines.PrescribedPump,Fluid.Machines,error,instantiate,EI012,p0a-specialization,22.0,cannot instantiate partial class `Medium.BaseProperties` for component `medium`,EI012 instantiates the constraining/partial class for an occurrence the model redeclared to a concrete medium,ALIAS override_map.rs alias-path fallback
Modelica.Fluid.Machines.BaseClasses.PumpMonitoring.PumpMonitoringBase,Fluid.Machines,ok,,,,24.9,,,
Modelica.Fluid.Machines.BaseClasses.PumpMonitoring.PumpMonitoringNPSH,Fluid.Machines,error,flatten,EF025,p0a-specialization,22.3,missing exact function-selection identity for `Medium.density`: callable owner has multiple exact exposures for the selected implementation,EF025 ambiguous effective function selection under redeclare: callable owner has multiple exact exposures for the selected implementation,SIGWALK function_signatures.rs depth-capped signature walk
Modelica.Fluid.Pipes.StaticPipe,Fluid.Pipes,error,typecheck,ET001,p0a-specialization,23.9,unknown modifier `min` for component `m_flows` of type `Medium.MassFlowRate`,"ET001 names a selected-package member type; the identical declaration compiles in a shallow standalone model, so the failure is depth dependent, not shape dependent",FIXPOINT constant_extraction.rs bounded-pass recovery
Modelica.Fluid.Pipes.DynamicPipe,Fluid.Pipes,error,instantiate,EI012,p0a-specialization,22.9,cannot instantiate partial class `Medium.BaseProperties` for component `mediums[1]`,EI012 instantiates the constraining/partial class for an occurrence the model redeclared to a concrete medium,ALIAS override_map.rs alias-path fallback
Modelica.Fluid.Pipes.BaseClasses.FlowModels.NominalLaminarFlow,Fluid.Pipes,error,typecheck,ET001,p0a-specialization,21.9,unknown modifier `min` for component `m_flows` of type `Medium.MassFlowRate`,"ET001 names a selected-package member type; the identical declaration compiles in a shallow standalone model, so the failure is depth dependent, not shape dependent",FIXPOINT constant_extraction.rs bounded-pass recovery
Modelica.Fluid.Pipes.BaseClasses.FlowModels.NominalTurbulentPipeFlow,Fluid.Pipes,error,typecheck,ET001,p0a-specialization,21.6,unknown modifier `min` for component `m_flows` of type `Medium.MassFlowRate`,"ET001 names a selected-package member type; the identical declaration compiles in a shallow standalone model, so the failure is depth dependent, not shape dependent",FIXPOINT constant_extraction.rs bounded-pass recovery
Modelica.Fluid.Pipes.BaseClasses.FlowModels.TurbulentPipeFlow,Fluid.Pipes,error,typecheck,ET001,p0a-specialization,22.2,unknown modifier `min` for component `m_flows` of type `Medium.MassFlowRate`,"ET001 names a selected-package member type; the identical declaration compiles in a shallow standalone model, so the failure is depth dependent, not shape dependent",FIXPOINT constant_extraction.rs bounded-pass recovery
Modelica.Fluid.Pipes.BaseClasses.FlowModels.DetailedPipeFlow,Fluid.Pipes,error,typecheck,ET001,p0a-specialization,23.4,unknown modifier `min` for component `m_flows` of type `Medium.MassFlowRate`,"ET001 names a selected-package member type; the identical declaration compiles in a shallow standalone model, so the failure is depth dependent, not shape dependent",FIXPOINT constant_extraction.rs bounded-pass recovery
Modelica.Fluid.Pipes.BaseClasses.HeatTransfer.IdealFlowHeatTransfer,Fluid.Pipes,error,typecheck,ET002,p0a-specialization,21.4,"type mismatch: expected `Modelica.Fluid.Interfaces.PartialHeatTransfer.Medium`, found `Modelica.Units.SI.Temperature`",ET002 reports the replaceable package slot itself as the type of a component declared with one of its member types; reproduced standalone,ALIAS override_map.rs alias-path fallback
Modelica.Fluid.Pipes.BaseClasses.HeatTransfer.ConstantFlowHeatTransfer,Fluid.Pipes,error,flatten,EF024,p0a-specialization,20.9,flat variable is missing structured identity: temperature,"a member of the selected package (function, record constant or structural constant `temperature`) reaches Flat with no structured identity",GUESSNAME equations/mod.rs::lookup_parameter_in_scope
Modelica.Fluid.Pipes.BaseClasses.HeatTransfer.LocalPipeFlowHeatTransfer,Fluid.Pipes,error,flatten,EF024,p0a-specialization,21.7,flat variable is missing structured identity: temperature,"a member of the selected package (function, record constant or structural constant `temperature`) reaches Flat with no structured identity",GUESSNAME equations/mod.rs::lookup_parameter_in_scope
Modelica.Fluid.Valves.ValveIncompressible,Fluid.Valves,error,typecheck,ET001,p0a-specialization,19.8,unknown modifier `min` for component `dp_start` of type `Medium.AbsolutePressure`,"ET001 names a selected-package member type; the identical declaration compiles in a shallow standalone model, so the failure is depth dependent, not shape dependent",FIXPOINT constant_extraction.rs bounded-pass recovery
Modelica.Fluid.Valves.ValveVaporizing,Fluid.Valves,error,instantiate,EI007,p0a-specialization,21.5,redeclaration error for `criticalPressure`: selected redeclare class has no such member,EI007 on a redeclare/selection route: redeclaration error for `criticalPressure`: selected redeclare class has no such member,ALIAS override_map.rs alias-path fallback
Modelica.Fluid.Valves.ValveCompressible,Fluid.Valves,error,typecheck,ET001,p0a-specialization,21.3,unknown modifier `min` for component `dp_start` of type `Medium.AbsolutePressure`,"ET001 names a selected-package member type; the identical declaration compiles in a shallow standalone model, so the failure is depth dependent, not shape dependent",FIXPOINT constant_extraction.rs bounded-pass recovery
Modelica.Fluid.Valves.ValveLinear,Fluid.Valves,error,typecheck,ET001,p0a-specialization,20.7,unknown modifier `min` for component `dp_start` of type `Medium.AbsolutePressure`,"ET001 names a selected-package member type; the identical declaration compiles in a shallow standalone model, so the failure is depth dependent, not shape dependent",FIXPOINT constant_extraction.rs bounded-pass recovery
Modelica.Fluid.Valves.ValveDiscrete,Fluid.Valves,error,typecheck,ET001,p0a-specialization,22.9,unknown modifier `min` for component `dp_start` of type `Medium.AbsolutePressure`,"ET001 names a selected-package member type; the identical declaration compiles in a shallow standalone model, so the failure is depth dependent, not shape dependent",FIXPOINT constant_extraction.rs bounded-pass recovery
Modelica.Fluid.Valves.ValveDiscreteRamp,Fluid.Valves,error,typecheck,ET001,p0a-specialization,22.8,unknown modifier `min` for component `dp_start` of type `Medium.AbsolutePressure`,"ET001 names a selected-package member type; the identical declaration compiles in a shallow standalone model, so the failure is depth dependent, not shape dependent",FIXPOINT constant_extraction.rs bounded-pass recovery
Modelica.Fluid.Sources.FixedBoundary,Fluid.Sources,error,instantiate,EI012,p0a-specialization,22.0,cannot instantiate partial class `Medium.BaseProperties` for component `medium`,EI012 instantiates the constraining/partial class for an occurrence the model redeclared to a concrete medium,ALIAS override_map.rs alias-path fallback
Modelica.Fluid.Sources.Boundary_pT,Fluid.Sources,error,instantiate,EI012,p0a-specialization,21.3,cannot instantiate partial class `Medium.BaseProperties` for component `medium`,EI012 instantiates the constraining/partial class for an occurrence the model redeclared to a concrete medium,ALIAS override_map.rs alias-path fallback
Modelica.Fluid.Sources.Boundary_ph,Fluid.Sources,error,instantiate,EI012,p0a-specialization,20.7,cannot instantiate partial class `Medium.BaseProperties` for component `medium`,EI012 instantiates the constraining/partial class for an occurrence the model redeclared to a concrete medium,ALIAS override_map.rs alias-path fallback
Modelica.Fluid.Sources.MassFlowSource_T,Fluid.Sources,error,instantiate,EI012,p0a-specialization,21.1,cannot instantiate partial class `Medium.BaseProperties` for component `medium`,EI012 instantiates the constraining/partial class for an occurrence the model redeclared to a concrete medium,ALIAS override_map.rs alias-path fallback
Modelica.Fluid.Sources.MassFlowSource_h,Fluid.Sources,error,instantiate,EI012,p0a-specialization,21.9,cannot instantiate partial class `Medium.BaseProperties` for component `medium`,EI012 instantiates the constraining/partial class for an occurrence the model redeclared to a concrete medium,ALIAS override_map.rs alias-path fallback
Modelica.Fluid.Sensors.Pressure,Fluid.Sensors,error,typecheck,ET002,p0a-specialization,20.8,"type mismatch: expected `Modelica.Fluid.Interfaces.FluidPort.Medium`, found `Integer`",ET002 reports the replaceable package slot itself as the type of a component declared with one of its member types; reproduced standalone,ALIAS override_map.rs alias-path fallback
Modelica.Fluid.Sensors.Density,Fluid.Sensors,error,typecheck,ET002,p0a-specialization,19.0,"type mismatch: expected `Modelica.Fluid.Interfaces.FluidPort.Medium`, found `Integer`",ET002 reports the replaceable package slot itself as the type of a component declared with one of its member types; reproduced standalone,ALIAS override_map.rs alias-path fallback
Modelica.Fluid.Sensors.DensityTwoPort,Fluid.Sensors,error,typecheck,ET001,p0a-specialization,20.8,unknown modifier `min` for component `m_flow_small` of type `Medium.MassFlowRate`,"ET001 names a selected-package member type; the identical declaration compiles in a shallow standalone model, so the failure is depth dependent, not shape dependent",FIXPOINT constant_extraction.rs bounded-pass recovery
Modelica.Fluid.Sensors.Temperature,Fluid.Sensors,error,typecheck,ET002,p0a-specialization,21.0,"type mismatch: expected `Modelica.Fluid.Interfaces.FluidPort.Medium`, found `Integer`",ET002 reports the replaceable package slot itself as the type of a component declared with one of its member types; reproduced standalone,ALIAS override_map.rs alias-path fallback
Modelica.Fluid.Sensors.TemperatureTwoPort,Fluid.Sensors,error,typecheck,ET001,p0a-specialization,20.4,unknown modifier `min` for component `m_flow_small` of type `Medium.MassFlowRate`,"ET001 names a selected-package member type; the identical declaration compiles in a shallow standalone model, so the failure is depth dependent, not shape dependent",FIXPOINT constant_extraction.rs bounded-pass recovery
Modelica.Fluid.Sensors.SpecificEnthalpy,Fluid.Sensors,error,typecheck,ET002,p0a-specialization,21.7,"type mismatch: expected `Modelica.Fluid.Interfaces.FluidPort.Medium`, found `Integer`",ET002 reports the replaceable package slot itself as the type of a component declared with one of its member types; reproduced standalone,ALIAS override_map.rs alias-path fallback
Modelica.Fluid.Sensors.SpecificEnthalpyTwoPort,Fluid.Sensors,error,typecheck,ET001,p0a-specialization,21.5,unknown modifier `min` for component `m_flow_small` of type `Medium.MassFlowRate`,"ET001 names a selected-package member type; the identical declaration compiles in a shallow standalone model, so the failure is depth dependent, not shape dependent",FIXPOINT constant_extraction.rs bounded-pass recovery
Modelica.Fluid.Sensors.SpecificEntropy,Fluid.Sensors,error,typecheck,ET002,p0a-specialization,21.2,"type mismatch: expected `Modelica.Fluid.Interfaces.FluidPort.Medium`, found `Integer`",ET002 reports the replaceable package slot itself as the type of a component declared with one of its member types; reproduced standalone,ALIAS override_map.rs alias-path fallback
Modelica.Fluid.Sensors.SpecificEntropyTwoPort,Fluid.Sensors,error,typecheck,ET001,p0a-specialization,21.3,unknown modifier `min` for component `m_flow_small` of type `Medium.MassFlowRate`,"ET001 names a selected-package member type; the identical declaration compiles in a shallow standalone model, so the failure is depth dependent, not shape dependent",FIXPOINT constant_extraction.rs bounded-pass recovery
Modelica.Fluid.Sensors.MassFractions,Fluid.Sensors,error,typecheck,ET002,p0a-specialization,20.8,"type mismatch: expected `Modelica.Fluid.Interfaces.FluidPort.Medium`, found `Integer`",ET002 reports the replaceable package slot itself as the type of a component declared with one of its member types; reproduced standalone,ALIAS override_map.rs alias-path fallback
Modelica.Fluid.Sensors.MassFractionsTwoPort,Fluid.Sensors,error,typecheck,ET001,p0a-specialization,20.9,unknown modifier `min` for component `m_flow_small` of type `Medium.MassFlowRate`,"ET001 names a selected-package member type; the identical declaration compiles in a shallow standalone model, so the failure is depth dependent, not shape dependent",FIXPOINT constant_extraction.rs bounded-pass recovery
Modelica.Fluid.Sensors.TraceSubstances,Fluid.Sensors,error,typecheck,ET001,p0a-specialization,20.9,unknown modifier `quantity` for component `CVec` of type `Medium.ExtraProperty`,"ET001 names a selected-package member type; the identical declaration compiles in a shallow standalone model, so the failure is depth dependent, not shape dependent",FIXPOINT constant_extraction.rs bounded-pass recovery
Modelica.Fluid.Sensors.TraceSubstancesTwoPort,Fluid.Sensors,error,typecheck,ET001,p0a-specialization,21.4,unknown modifier `min` for component `m_flow_small` of type `Medium.MassFlowRate`,"ET001 names a selected-package member type; the identical declaration compiles in a shallow standalone model, so the failure is depth dependent, not shape dependent",FIXPOINT constant_extraction.rs bounded-pass recovery
Modelica.Fluid.Sensors.MassFlowRate,Fluid.Sensors,error,typecheck,ET001,p0a-specialization,20.0,unknown modifier `min` for component `m_flow_small` of type `Medium.MassFlowRate`,"ET001 names a selected-package member type; the identical declaration compiles in a shallow standalone model, so the failure is depth dependent, not shape dependent",FIXPOINT constant_extraction.rs bounded-pass recovery
Modelica.Fluid.Sensors.VolumeFlowRate,Fluid.Sensors,error,typecheck,ET001,p0a-specialization,20.2,unknown modifier `min` for component `m_flow_small` of type `Medium.MassFlowRate`,"ET001 names a selected-package member type; the identical declaration compiles in a shallow standalone model, so the failure is depth dependent, not shape dependent",FIXPOINT constant_extraction.rs bounded-pass recovery
Modelica.Fluid.Sensors.RelativePressure,Fluid.Sensors,error,typecheck,ET002,p0a-specialization,20.9,"type mismatch: expected `Modelica.Fluid.Interfaces.FluidPort.Medium`, found `Integer`",ET002 reports the replaceable package slot itself as the type of a component declared with one of its member types; reproduced standalone,ALIAS override_map.rs alias-path fallback
Modelica.Fluid.Sensors.RelativeTemperature,Fluid.Sensors,error,typecheck,ET002,p0a-specialization,21.8,"type mismatch: expected `Modelica.Fluid.Interfaces.FluidPort.Medium`, found `Integer`",ET002 reports the replaceable package slot itself as the type of a component declared with one of its member types; reproduced standalone,ALIAS override_map.rs alias-path fallback
Modelica.Fluid.Sensors.BaseClasses.PartialRelativeSensor,Fluid.Sensors,error,flatten,EF019,p0a-specialization,21.5,"inconsistent resolved function reference: rendered `Modelica.Media.Interfaces.PartialMedium.specificEnthalpy`, structured `specificEnthalpy`",EF019 names a partial interface class as the effective type of a redeclared occurrence,ALIAS override_map.rs alias-path fallback
Modelica.Fluid.Fittings.Bends.CurvedBend,Fluid.Fittings,error,typecheck,ET001,p0a-specialization,21.7,unknown modifier `min` for component `dp_start` of type `Medium.AbsolutePressure`,"ET001 names a selected-package member type; the identical declaration compiles in a shallow standalone model, so the failure is depth dependent, not shape dependent",FIXPOINT constant_extraction.rs bounded-pass recovery
Modelica.Fluid.Fittings.Bends.EdgedBend,Fluid.Fittings,error,typecheck,ET001,p0a-specialization,21.8,unknown modifier `min` for component `dp_start` of type `Medium.AbsolutePressure`,"ET001 names a selected-package member type; the identical declaration compiles in a shallow standalone model, so the failure is depth dependent, not shape dependent",FIXPOINT constant_extraction.rs bounded-pass recovery
Modelica.Fluid.Fittings.Orifices.ThickEdgedOrifice,Fluid.Fittings,error,typecheck,ET001,p0a-specialization,21.4,unknown modifier `min` for component `dp_start` of type `Medium.AbsolutePressure`,"ET001 names a selected-package member type; the identical declaration compiles in a shallow standalone model, so the failure is depth dependent, not shape dependent",FIXPOINT constant_extraction.rs bounded-pass recovery
